seed_index,model_seed,feature_seed,probe_seed,dimension,branch,trace_residue_coeff,batch_size,num_probes,num_grad_samples,series_order,num_threads,model_logit_jitter,variance_source,operator_semantics,objective_semantics,total_grad_variance,mean_grad_norm,mean_estimated_prior,std_estimated_prior,mean_trace_estimate,std_trace_estimate,trace_exact,t2_exact
1,43085804,43182807,43279810,4096,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.6474990844726562,5.882699966430664,525.8615589141846,0.16328569567090695,1325.4341621398926,0.6399106445116166,1325.3019869327545,430.0322845198086
1,43085804,43182807,43279810,4096,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,3.2021851539611816,15.030773162841797,1188.5786399841309,0.15772942596861753,1325.4341621398926,0.6399106445116166,1325.3019869327545,430.0322845198086
2,44085807,44182810,44279813,4096,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,25.347183227539062,7.2553606033325195,-140.91543245315552,0.3394819094190635,1323.9260025024414,0.4508676731942991,1324.0267180502415,429.19596588963014
2,44085807,44182810,44279813,4096,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.0490797758102417,0.2521458864212036,-0.5158332455903292,0.27046836561571247,34.51905596256256,0.448496246719162,34.53317227889784,1.255875408241244
2,44085807,44182810,44279813,4096,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,71.33035278320312,16.747371673583984,-802.8784370422363,0.5648513273385011,1323.9260025024414,0.4508676731942991,1324.0267180502415,429.19596588963014
2,44085807,44182810,44279813,4096,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.6454074382781982,5.815920829772949,521.0475654602051,0.11436073713476765,1323.9260025024414,0.4508676731942991,1324.0267180502415,429.19596588963014
2,44085807,44182810,44279813,4096,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,3.2250351905822754,14.967414855957031,1183.0105628967285,0.11202264704240605,1323.9260025024414,0.4508676731942991,1324.0267180502415,429.19596588963014
3,45085810,45182813,45279816,4096,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,25.331287384033203,7.202199935913086,-130.99735164642334,0.3999093494318029,1325.1228523254395,0.5312438733395233,1325.0326190292835,429.87064383354186
3,45085810,45182813,45279816,4096,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03997363895177841,0.2392062246799469,-0.26848363876342773,0.24335897020893188,34.56138062477112,0.4286460079795538,34.57788338325918,1.2545886953966743
3,45085810,45182813,45279816,4096,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,71.2800064086914,16.649749755859375,-793.5587730407715,0.665483603785854,1325.1228523254395,0.5312438733395233,1325.0326190292835,429.87064383354186
3,45085810,45182813,45279816,4096,trace_residue_plus_0_5,0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,2.64477276802063,5.976480484008789,531.564079284668,0.13452786587426288,1325.1228523254395,0.5312438733395233,1325.0326190292835,429.87064383354186
3,45085810,45182813,45279816,4096,trace_residue_plus_1_0,1.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,3.2204666137695312,15.124166488647461,1194.1254997253418,0.13182049316720465,1325.1228523254395,0.5312438733395233,1325.0326190292835,429.87064383354186
4,46085813,46182816,46279819,4096,cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,25.273820877075195,7.223237991333008,-138.37329483032227,0.4471168324138818,1325.2192077636719,0.5947984989066157,1325.3145067989826,430.06863100836847
4,46085813,46182816,46279819,4096,filtered_cf_probe,0.0,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,0.03423437103629112,0.22488340735435486,-0.6132883299142122,0.22146099697142282,34.48102259635925,0.4026698917545874,34.609598693903536,1.272776258880183
4,46085813,46182816,46279819,4096,trace_residue_minus_0_5,-0.5,16,8,32,5,4,0.02,fixed_batch_rademacher_probes,relative_precision_H,wick_log_q_over_p,71.11038970947266,16.7202091217041,-800.9829006195068,0.7444741726864883,1325.2192077636719,0.5947984989066157,1325.3145067989826,430.06863100836847
